Area,diameter,perimeter,circularity,homogeneity,compactness,homogeneity,3d bounding box dim rate,compactness2,clbp mean,euler point,x-y projection compactness,min value inside,DC constant,energy,skew inside,kurtosis inside,moment 2,MIP,moment 5,moment 6,moment 7,x-y plane bb rate,T
15.1875,10.5,22.36650768,0.381504617,78.24375,1.452291285,0.785714286,0.619047619,4.957745814,12.28333333,1,0.320336861,7.787057877,0.947183132,1.74183476,0.591692567,2.105209351,324.5516663,291.9782715,94764.74219,30757838,3479.091797,7.448224545,NON-CANCEROUS
12.9375,8.25,21.18841044,0.36212914,53.38125,1.541385834,0.727272727,0.63030303,4.912549978,12.08333333,2,0.425145365,7.623915672,1.018032193,1.338662148,1.136302352,4.240858078,328.0418701,284.4764099,93320.19531,30613426,3319.450195,7.586267471,NON-CANCEROUS
11.25,28.5,13.73290788,0.749613455,319.55625,1.401090967,0.289473684,0.289473684,7.295660748,24.91666667,3,0.252869867,7.649014473,1.016376972,2.030960083,0.674839199,2.253462076,371.9692383,290.3678284,108007.9531,40176044,3574.634766,7.523520947,NON-CANCEROUS
35.4375,13.5,40.60967501,0.270031179,173.30625,1.591046203,0.888888889,0.385185185,3.593503672,15.41666667,0,0.221096226,7.598816872,1.014603972,2.176229,0.03350538,1.922716856,184.9334564,317.2512512,58671.5,10853147,28361.5957,7.586267471,NON-CANCEROUS
16.3125,10.5,18.58822402,0.593273012,81.9,1.63523186,0.857142857,0.371428571,3.279425042,12.53333333,5,0.249463813,7.937650681,1.013893723,2.113609076,-0.508015871,2.106185198,197.9995117,299.6656494,59334.09766,11749149,8553.642578,7.661563873,NON-CANCEROUS
19.6875,8.25,18.17170375,0.749219616,85.55625,1.648501531,0.727272727,0.472727273,1.450921574,6.05,1,0.944045933,7.962749481,0.81267637,1.98179388,0.001504233,2.101597071,353.8554993,321.2634888,113681.0625,40227548,12501.66699,7.54861927,NON-CANCEROUS
16.3125,14.25,23.02701989,0.386593828,145.51875,1.234394295,0.894736842,0.729824561,6.642379487,20.43333333,4,0.230949687,9.78230381,1.009904742,2.460588694,0.159637928,2.036307573,233.4368744,365.4156189,85300.75,19912520,8082.932129,9.613827705,NON-CANCEROUS
21.375,23.25,20.59936182,0.633006917,293.9625,1.966835849,0.35483871,0.35483871,4.426604226,20.58333333,3,0.244669172,9.736355782,1.008826017,3.004281044,0.261642724,2.569086075,275.1030884,320.703186,88227.25781,24272128,19768.84766,9.537247658,NON-CANCEROUS
11.8125,7.5,16.74961457,0.529105224,73.125,1.320434814,0.9,0.866666667,3.520831491,9.533333333,2,0.594368889,28.42679596,1.001082182,9.647759438,0.596340239,2.349972248,146.2379303,268.8872986,39321.96094,5750588,13326.23535,28.42679596,NON-CANCEROUS
19.6875,12.75,35.33783859,0.198116419,140.4,1.456879255,0.941176471,0.509803922,9.736267741,21.71666667,-3,0.433671771,27.59412575,1.001207948,6.039267063,0.249411881,2.286138535,295.6421814,284.7149963,84173.14063,24887508,26368.18164,27.59412575,NON-CANCEROUS
